7	3prime_overlapping_ncRNA
10	IG_C_gene
2	IG_C_pseudogene
22	IG_V_gene
5	IG_V_pseudogene
2	Mt_rRNA
9	Mt_tRNA
1	Probe Set Name,Description
119	TEC
4	TR_C_gene
1	TR_J_gene
27	TR_V_gene
2	TR_V_pseudogene
718	antisense
4	bidirectional_promoter_lncRNA
1091	lincRNA
203	miRNA
1491	misc_RNA
72	non_stop_decay
12859	nonsense_mediated_decay
58	polymorphic_pseudogene
750	processed_pseudogene
18700	processed_transcript
74087	protein_coding
14	pseudogene
357	rRNA
21574	retained_intron
4	ribozyme
32	scaRNA
28	sense_intronic
41	sense_overlapping
1310	snRNA
569	snoRNA
87	transcribed_processed_pseudogene
25	transcribed_unitary_pseudogene
222	transcribed_unprocessed_pseudogene
30	unitary_pseudogene
201	unprocessed_pseudogene
